name,site,city,longitude,latitude
迈皋桥站,"<strong class=""bolder"">地铁1号线</strong>",南京,118.809755,32.103157
红山动物园站,"<strong class=""bolder"">地铁1号线</strong>",南京,118.802057,32.095644
南京站,"<strong class=""bolder"">地铁1号线</strong>",南京,118.796804,32.086118
新模范马路站,"<strong class=""bolder"">地铁1号线</strong>",南京,118.78366,32.079262
玄武门站,"<strong class=""bolder"">地铁1号线</strong>",南京,118.783743,32.071842
鼓楼站,"<strong class=""bolder"">地铁1号线</strong>",南京,118.782509,32.059208
珠江路站,"<strong class=""bolder"">地铁1号线</strong>",南京,118.784492,32.050758
新街口站,"<strong class=""bolder"">地铁1号线</strong>",南京,118.783549,32.042071
张府园站,"<strong class=""bolder"">地铁1号线</strong>",南京,118.783508,32.030529
三山街站,"<strong class=""bolder"">地铁1号线</strong>",南京,118.782125,32.023614
中华门站,"<strong class=""bolder"">地铁1号线</strong>",南京,118.778845,32.006339
安德门站,"<strong class=""bolder"">地铁1号线</strong>",南京,118.762324,31.992248
天隆寺站,"<strong class=""bolder"">地铁1号线</strong>",南京,118.762982,31.978564
软件大道站,"<strong class=""bolder"">地铁1号线</strong>",南京,118.775106,31.977422
花神庙站,"<strong class=""bolder"">地铁1号线</strong>",南京,118.784809,31.977859
南京南站,"<strong class=""bolder"">地铁1号线</strong>",南京,118.799038,31.967359
双龙大道站,"<strong class=""bolder"">地铁1号线</strong>",南京,118.81748,31.964142
河定桥站,"<strong class=""bolder"">地铁1号线</strong>",南京,118.819839,31.950311
胜太路站,"<strong class=""bolder"">地铁1号线</strong>",南京,118.820696,31.943526
百家湖站,"<strong class=""bolder"">地铁1号线</strong>",南京,118.821929,31.931175
小龙湾站,"<strong class=""bolder"">地铁1号线</strong>",南京,118.832431,31.929457
竹山路站,"<strong class=""bolder"">地铁1号线</strong>",南京,118.844448,31.932274
天印大道站,"<strong class=""bolder"">地铁1号线</strong>",南京,118.863466,31.937177
龙眠大道站,"<strong class=""bolder"">地铁1号线</strong>",南京,118.877196,31.939608
南医大江苏经贸学院站,"<strong class=""bolder"">地铁1号线</strong>",南京,118.889761,31.933367
南京交院站,"<strong class=""bolder"">地铁1号线</strong>",南京,118.904972,31.913263
中国药科大学站,"<strong class=""bolder"">地铁1号线</strong>",南京,118.914136,31.897281
南京南站,"<strong class=""bolder"">地铁S1号线</strong>",南京,118.799038,31.967359
翠屏山站,"<strong class=""bolder"">地铁S1号线</strong>",南京,118.7853,31.946081
河海大学佛城西路站,"<strong class=""bolder"">地铁S1号线</strong>",南京,118.791077,31.914376
吉印大道站,"<strong class=""bolder"">地铁S1号线</strong>",南京,118.796242,31.885483
正方中路站,"<strong class=""bolder"">地铁S1号线</strong>",南京,118.805407,31.844714
翔宇路北站,"<strong class=""bolder"">地铁S1号线</strong>",南京,118.821876,31.790899
翔宇路南站,"<strong class=""bolder"">地铁S1号线</strong>",南京,118.829617,31.75448
禄口机场站,"<strong class=""bolder"">地铁S1号线</strong>",南京,118.873841,31.730468
油坊桥站,"<strong class=""bolder"">地铁2号线</strong>",南京,118.7204,31.965705
雨润大街站,"<strong class=""bolder"">地铁2号线</strong>",南京,118.721948,31.983881
元通站,"<strong class=""bolder"">地铁2号线</strong>",南京,118.721783,31.994882
奥体东站,"<strong class=""bolder"">地铁2号线</strong>",南京,118.728275,32.004691
兴隆大街站,"<strong class=""bolder"">地铁2号线</strong>",南京,118.736742,32.015858
集庆门大街站,"<strong class=""bolder"">地铁2号线</strong>",南京,118.7388,32.027764
云锦路站,"<strong class=""bolder"">地铁2号线</strong>",南京,118.746599,32.03466
莫愁湖站,"<strong class=""bolder"">地铁2号线</strong>",南京,118.759157,32.038127
汉中门站,"<strong class=""bolder"">地铁2号线</strong>",南京,118.76774,32.043155
上海路站,"<strong class=""bolder"">地铁2号线</strong>",南京,118.775353,32.042614
新街口站,"<strong class=""bolder"">地铁2号线</strong>",南京,118.783549,32.042071
大行宫站,"<strong class=""bolder"">地铁2号线</strong>",南京,118.795029,32.042509
西安门站,"<strong class=""bolder"">地铁2号线</strong>",南京,118.806226,32.040448
明故宫站,"<strong class=""bolder"">地铁2号线</strong>",南京,118.820454,32.039439
苜蓿园站,"<strong class=""bolder"">地铁2号线</strong>",南京,118.834123,32.040091
下马坊站,"<strong class=""bolder"">地铁2号线</strong>",南京,118.849254,32.037589
孝陵卫站,"<strong class=""bolder"">地铁2号线</strong>",南京,118.858695,32.03529
钟灵街站,"<strong class=""bolder"">地铁2号线</strong>",南京,118.86977,32.039802
马群站,"<strong class=""bolder"">地铁2号线</strong>",南京,118.894517,32.049395
金马路站,"<strong class=""bolder"">地铁2号线</strong>",南京,118.906784,32.071185
仙鹤门站,"<strong class=""bolder"">地铁2号线</strong>",南京,118.904276,32.08457
学则路站,"<strong class=""bolder"">地铁2号线</strong>",南京,118.916885,32.091434
仙林中心站,"<strong class=""bolder"">地铁2号线</strong>",南京,118.930107,32.097752
羊山公园站,"<strong class=""bolder"">地铁2号线</strong>",南京,118.939324,32.103465
南大仙林校区站,"<strong class=""bolder"">地铁2号线</strong>",南京,118.959745,32.108854
经天路站,"<strong class=""bolder"">地铁2号线</strong>",南京,118.975811,32.115955
林场站,"<strong class=""bolder"">地铁3号线</strong>",南京,118.671339,32.16369
星火路站,"<strong class=""bolder"">地铁3号线</strong>",南京,118.695858,32.157134
东大成贤学院站,"<strong class=""bolder"">地铁3号线</strong>",南京,118.707397,32.15617
泰冯路站,"<strong class=""bolder"">地铁3号线</strong>",南京,118.717099,32.154094
天润城站,"<strong class=""bolder"">地铁3号线</strong>",南京,118.733477,32.150788
柳洲东路站,"<strong class=""bolder"">地铁3号线</strong>",南京,118.746376,32.140919
上元门站,"<strong class=""bolder"">地铁3号线</strong>",南京,118.770006,32.116004
五塘广场站,"<strong class=""bolder"">地铁3号线</strong>",南京,118.778587,32.11017
小市站,"<strong class=""bolder"">地铁3号线</strong>",南京,124.122859,41.310704
南京站,"<strong class=""bolder"">地铁3号线</strong>",南京,118.796804,32.086118
南京林业大学新庄站,"<strong class=""bolder"">地铁3号线</strong>",南京,118.810025,32.07717
鸡鸣寺站,"<strong class=""bolder"">地铁3号线</strong>",南京,118.796634,32.057703
浮桥华海3C广场站,"<strong class=""bolder"">地铁3号线</strong>",南京,118.797033,32.048599
大行宫站,"<strong class=""bolder"">地铁3号线</strong>",南京,118.795029,32.042509
常府街站,"<strong class=""bolder"">地铁3号线</strong>",南京,118.791953,32.032916
夫子庙站,"<strong class=""bolder"">地铁3号线</strong>",南京,118.79123,32.023812
武定门站,"<strong class=""bolder"">地铁3号线</strong>",南京,118.794167,32.012908
雨花门站,"<strong class=""bolder"">地铁3号线</strong>",南京,118.792036,32.003857
卡子门站,"<strong class=""bolder"">地铁3号线</strong>",南京,118.79558,31.996169
大明路站,"<strong class=""bolder"">地铁3号线</strong>",南京,118.800675,31.985429
明发广场站,"<strong class=""bolder"">地铁3号线</strong>",南京,118.798778,31.976957
南京南站,"<strong class=""bolder"">地铁3号线</strong>",南京,118.799038,31.967359
宏运大道站,"<strong class=""bolder"">地铁3号线</strong>",南京,118.804659,31.958445
胜太西路站,"<strong class=""bolder"">地铁3号线</strong>",南京,118.807741,31.942906
天元西路站,"<strong class=""bolder"">地铁3号线</strong>",南京,118.807941,31.928262
九龙湖站,"<strong class=""bolder"">地铁3号线</strong>",南京,118.808231,31.914882
